PMID,title,abstract,adverse_observed,treatment_safety,risk_factor,drug_effect,animal_model
33258698,Meta-analysis of rare adverse events in randomized clinical trials: Bayesian and frequentist methods.,"Regulatory approval of a drug or device involves an assessment of not only the benefits but also the risks of adverse events associated with the therapeutic agent. Although randomized controlled trials (RCTs) are the gold standard for evaluating effectiveness, the number of treated patients in a single RCT may not be enough to detect a rare but serious side effect of the treatment. Meta-analysis plays an important role in the evaluation of the safety of medical products and has advantage over analyzing a single RCT when estimating the rate of adverse events. In this article, we compare 15 widely used meta-analysis models under both Bayesian and frequentist frameworks when outcomes are extremely infrequent or rare. We present extensive simulation study results and then apply these methods to a real meta-analysis that considers RCTs investigating the effect of rosiglitazone on the risks of myocardial infarction and of death from cardiovascular causes. Our simulation studies suggest that the beta hyperprior method modeling treatment group-specific parameters and accounting for heterogeneity performs the best. Most models ignoring between-study heterogeneity give poor coverage probability when such heterogeneity exists. In the data analysis, different methods provide a wide range of log odds ratio estimates between rosiglitazone and control treatments with a mixed conclusion on their statistical significance based on 95% confidence (or credible) intervals. In the rare event setting, treatment effect estimates obtained from traditional meta-analytic methods may be biased and provide poor coverage probability. This trend worsens when the data have large between-study heterogeneity. In general, we recommend methods that first estimate the summaries of treatment-specific risks across studies and then relative treatment effects based on the summaries when appropriate. Furthermore, we recommend fitting various methods, comparing the results and model performance, and investigating any significant discrepancies among them.",1,0,0,1,0
26679963,A Drug Safety Rating System Based on Postmarketing Costs Associated with Adverse Events and Patient Outcomes.,"Given the multiple limitations associated with relatively homogeneous preapproval clinical trials, inadequate data disclosures, slow reaction times from regulatory bodies, and deep-rooted bias against disclosing and publishing negative results, there is an acute need for the development of analytics that reflect drug safety in heterogeneous, real-world populations. To develop a drug safety statistic that estimates downstream medical costs associated with serious adverse events (AEs) and unfavorable patient outcomes associated with the use of 706 FDA-approved drugs. All primary suspect case reports for each drug were collected from the FDA's Adverse Event Reporting System database (FAERS) from 2010-2014. The Medical Dictionary for Regulatory Activities (MedDRA) was used to code serious AEs and outcomes, which were tallied for each case report. Medical costs associated with AEs and poor patient outcomes were derived from Agency for Healthcare Research and Quality (AHRQ) survey data, and their corresponding ICD-9-CM codes were mapped to MedDRA terms. Nonserious AEs and outcomes were not included. For each case report, either the highest AE cost or, if no eligible AE was listed, the highest outcome cost was used. All costed cases were aggregated for each drug and divided by the number of patients exposed to obtain a downstream estimated direct medical cost burden per exposure. Each drug was assigned a corresponding 1-100 point total. The 706 drugs showed an exponential distribution of downstream costs, and the data were transformed using the natural log to approximate a normal distribution. The minimum score was 8.29, and the maximum score was 99.25, with a mean of 44.32. Drugs with the highest individual scores tended to be kinase inhibitors, thalidomide analogs, and endothelin receptor antagonists. When scores were analyzed across Established Pharmacologic Class (EPC), the kinase inhibitor and endothelin receptor antagonist classes had the highest total. However, other EPCs with median scores of 75 and above included hepatitis C virus NS3/4A protease inhibitor, recombinant human interferon beta, vascular endothelial growth factor-directed antibody, and tumor necrosis factor blocker. When Anatomical Therapeutic Chemical classifications were analyzed, antineoplastic drugs were outliers with approximately 80% of their individual scores 60 and above, while approximately 20%-30% of blood and anti-infective drugs had scores of 60 and above. Within-drug class results served to differentiate similar drugs. For example, 6 serotonin reuptake inhibitors had a score range of 35 to 53. This scoring system is based on estimated direct medical costs associated with postmarketing AEs and poor patient outcomes and thereby helps fill a large information gap regarding drug safety in real-world patient populations.",1,1,0,0,0
37855974,A Novel Method for Deriving Adverse Event Prevalence in Randomized Controlled Trials: Potential for Improved Understanding of Benefit-Risk Ratio and Application to Drug Labels.,"Adverse event (AE) data in randomized controlled trials (RCTs) allow quantification of a drug's safety risk relative to placebo and comparison across medications. The standard US label for Food and Drug Administration-approved drugs typically lists AEs by MedDRA Preferred Term that occur at ≥ 2% in drug and with greater incidence than in placebo. We suggest that the drug label can be more informative for both patients and physicians if it includes, in addition to AE incidence (percent of subjects who reported the AE out of the total subjects in treatment), the absolute prevalence (percent of subject-days spent with an AE out of the total subject-days spent in treatment) and expected duration (days required for AE incidence to be reduced by half). We also propose a new method to analyze AEs in RCTs using drug-placebo difference in AE prevalence to improve safety signal detection. AE data from six RCTs in schizophrenia were analyzed (five RCTs of the dopamine D<sub>2</sub> receptor-based antipsychotic lurasidone and one RCT of the novel trace amine-associated receptor 1 [TAAR1] agonist ulotaront). We determined incidence, absolute prevalence, and expected duration of AEs for lurasidone and ulotaront vs respective placebo. We also calculated areas under the curve of drug-placebo difference in AE prevalence and mean percent contribution of each AE to this difference. A number of AEs with the same incidence had different absolute prevalence and expected duration. When accounting for these two parameters, AEs that did not appear in the 2% incidence tables of the drug label turned out to contribute substantially to drug tolerability. The percent contribution of a drug-related AE to the overall side effect burden increased the drug-placebo difference in AE prevalence, whereas the percent contribution of a placebo-related AE decreased such difference, revealing a continuum of risk between drug and placebo. AE prevalence curves for drug were generally greater than those for placebo. Ulotaront exhibited a small drug-placebo difference in AE prevalence curves due to a relatively low incidence and short duration of AEs in the ulotaront treatment arm as well as the emergence of disease-related AEs in the placebo arm. Reporting AE absolute prevalence and expected duration for each RCT and incorporating them in the drug label is possible, is clinically relevant, and allows standardized comparison of medications. Our new metric, the drug-placebo difference in AE prevalence, facilitates signal detection in RCTs. We piloted this metric in RCTs of several neuropsychiatric indications and drugs, offering a new way to compare AE burden and tolerability among treatments using existing clinical trial information.",1,0,0,1,0
34611721,Medication-related adverse events in health care-what have we learned? A narrative overview of the current knowledge.,"Although medication-related adverse events (MRAEs) in health care are vastly studied, high heterogeneity in study results complicates the interpretations of the current situation. The main objective of this study was to form an up-to-date overview of the current knowledge of the prevalence, risk factors, and surveillance of MRAEs in health care. Electronic databases (PubMed, MEDLINE, Web of Science, and Scopus) were searched with applicable search terms to collect information on medication-related adverse events. In order to obtain an up-to-date view of MRAEs, only studies published after 2000 were accepted. The prevalence rates of different MRAEs vary greatly between individual studies and meta-analyses. Study setting, patient population, and detection methods play an important role in determining detection rates, which should be regarded while interpreting the results. Medication-related adverse events are more common in elderly patients and patients with lowered liver or kidney function, polypharmacy, and a large number of additional comorbidities. However, the risk of MRAEs is also significantly increased by the use of high-risk medicines but also in certain care situations. Preventing MRAEs is important as it will decrease patient mortality and morbidity but also reduce costs and functional challenges related to them. Medication-related adverse events are highly common and have both immediate and long-term effects to patients and healthcare systems worldwide. Conclusive solutions for prevention of all medication-related harm are impossible to create. In the future, however, the development of efficient real-time detection methods can provide significant improvements for event prevention and forecasting.",1,0,0,0,0
35214773,Adverse Events Reporting Quality of Randomized Controlled Trials of COVID-19 Vaccine Using the CONSORT Criteria for Reporting Harms: A Systematic Review.,"Assessing the quality of evidence from vaccine clinical trials is essential to ensure the safety and efficacy of the vaccine and further enhance public acceptance. This study aims to summarize and critically evaluate the quality of harm reporting on randomized controlled trials for the COVID-19 vaccine and determine the factors associated with reporting quality. We systematically searched the literature using PRISMA guidelines for randomized controlled trials (RCT) on COVID-19 Vaccine until 30 December 2021. Published articles were searched from electronic databases such as PubMed, Science Direct, Google Scholar, and Bibliovid. Bias analysis was performed using RoB-2 tools. The quality of reporting was assessed by the Consolidated Standards of Reporting Trials (CONSORT) harm extension modified into 21 items. A total of 61 RCT studies (402,014 patients) were analyzed. Over half the studies demonstrated adequate reporting (59.02%), and 21 studies (34.4%) reported a low risk of bias. All studies reported death and serious adverse events (AEs), but only six studies mentioned how to handle the recurrent AEs. Reporting of AEs in subgroup analysis was also poor (25%). The RCTs on the COVID-19 vaccine were less biased with good quality on reporting harm based on the modified CONSORT harm extension. However, study quality must be considered, especially for a balance of information between effectivity and safety.",1,0,0,0,0
29785683,Targeted therapies and adverse drug reactions in oncology: the role of clinical pharmacist in pharmacovigilance.,"Background The majority of adverse drug reactions (ADRs) reported in the summary of product characteristics (SPCs) are based on pivotal clinical trials, performed under controlled conditions and with selected patients. Objectives (1) to observe ADRs in the real-world setting and to evaluate if the supervision of the pharmacist impacts on the management of ADRs and on the satisfaction of patients; (2) to sensitise health professionals and patients on the need to increase the reporting of ADRs, in compliance with Pharmacovigilance. Setting CRO Aviano, Italian National Cancer Institute. Method From February 2013 to April 2015, we conducted an observational study enrolling 154 patients (≥ 18 years) undergoing treatment with at least one of ten targeted-therapies included in the study. Main outcome ADR reporting in the real-world setting. Patient satisfaction with clinical pharmacist support. Results Reported ADRs in the real setting do not always correspond with data described in the respective SPCs. Unknown ADRs were also identified such as hyperglycaemia with lenalidomide and sorafenib; and hypomagnesaemia with bevacizumab. We also observed a 124.3% increase in spontaneous reports. Conclusion This study shows the high value of active pharmacovigilance programs, and our results might be a starting point for developing a randomised trial which should aim to demonstrate the impact of the pharmacist on improving patient's adherence and in measuring the difference in ADRs reports in the different arms followed or not by the pharmacist.",1,0,0,1,0
20183450,Statistical methods to analyze adverse events data of randomized clinical trials.,"The adverse events data of randomized clinical trials are often analyzed based on either crude incidence rates or exposure-adjusted incidence rates. These rates do not adequately account for an individual patient's profile of adverse events over the study period when an individual may remain in the trial after experiencing one or more events (i.e., occurrence of multiple events of the same kind or different kinds). Moreover, the required statistical assumptions (e.g., constant hazard rate over time) for valid estimates of incidence rates are not likely to be met in practice by adverse events data of clinical trials. A nonparametric approach called the mean cumulative function (MCF) provides a valid statistical inference on recurrent adverse event profiles of drugs in randomized clinical trials. The estimate involves no assumptions about the form of MCF. To demonstrate the applicability and utility of the MCF approach in clinical trial datasets, an adverse event dataset obtained from a clinical trial is analyzed in this article. As compared to the crude or exposure-adjusted incidence rates of adverse events, the MCF estimates facilitate more understanding of safety profiles of a drug in a randomized clinical trial.",1,0,0,1,0
25083202,Comprehensive evaluations of the adverse effects of drugs: importance of appropriate study selection and data sources.,"While systematic reviews and meta-analyses are at the top of the evidence hierarchy, most of the methodology has focused on assessing treatment benefit. Hence, we propose a structured framework for the initial steps of searching and identifying relevant data sources so that adverse effects can be evaluated in a comprehensive, unbiased manner. The unique methodological challenges stem from the difficulties of addressing diverse outcomes encompassing common, mild symptoms to rare, fatal events. Retrieval of the most appropriate studies should be specifically tailored to fit the nature of the adverse effects, according to the primary objective and study question. In our framework, the structure of the review takes different forms depending on whether the main aim is on scoping/hypothesis generation, or evaluating statistically the magnitude of risk (hypothesis testing), or clarifying characteristics and risk factors of the adverse effect. The wide range of data sources covering adverse effects all have distinct strengths and limitations, and selection of appropriate sources depends on characteristics of the adverse effect (e.g. background incidence and effect size of the drug, clinical presentation, time of onset after drug exposure). Reviewers need to retrieve particular study designs that are most likely to yield robust data on the adverse effects of interest, rather than rely on studies that cannot reliably detect adverse effects, and may yield 'false negatives'. Type II errors (a particular problem when evaluating rare adverse effects) can lull us into a false sense of security (e.g. wrongly concluding that there was no significant difference in harm between drug and control, with the drug erroneously judged as safe). Given the rapid rate at which methodological improvements occur, this proposed framework is by no means definitive, but aims to stimulate further debate and discussion amongst the pharmacoepidemiological and systematic review communities to reach a common consensus on the best methods.",1,0,0,1,0
40433303,Patients prefer easy adverse event reporting: Observational study within clinical trial.,"Digital intervention safety is crucial for regulatory approval and clinical adoption. However, the evaluation and reporting of adverse events (AEs) in clinical trials are often insufficient. Digital qualitative self-reporting could enhance the detection of AEs, but patient preferences for using such channels remain understudied. This observational study was conducted in Finland between 2022 and 2024 within a randomized controlled trial evaluating the efficacy of <i>Meliora</i>, a game-based digital intervention for patients living with major depressive disorder. We assessed the preferences of 1001 patients for self-reporting AEs across four channels: a prompted, within-intervention questionnaire (CORTO: Contextual, One-item, Repeated, Timely, Open-ended), a Jira questionnaire, email, and phone. 148 (14.8%) patients reported AEs during the study. We found a significant imbalance between the channels: 11.3% (<i>n</i> = 113) of patients reported AEs using CORTO, 4.1% (<i>n</i> = 41) using email, 1.1% (<i>n</i> = 11) using Jira, and 0.4% (<i>n</i> = 4) using phone. These findings reveal that patients prefer low-effort methods for reporting AEs and are more likely to report AEs via a prompted, within-intervention questionnaire (CORTO) than through other methods. Integrating qualitative self-report channels into digital interventions may enhance AE detection rates, improve clinical trial safety monitoring, and support post-market surveillance.",1,0,0,0,0
37779893,Quality of reporting of adverse events in clinical trials of covid-19 drugs: systematic review.,"To assess the quality of reporting of adverse events in clinical trials of covid-19 drugs based on the CONSORT (Consolidated Standards of Reporting Trials) harms extension and according to clinical trial design, and to examine reporting of serious adverse events in drug trials published on PubMed versus clinical trial summaries on ClinicalTrials.gov. Systematic review. PubMed and ClinicalTrials.gov registries were searched from 1 December 2019 to 17 February 2022. Randomised clinical trials evaluating the efficacy and safety of drugs used to treat covid-19 disease in participants of all ages with suspected, probable, or confirmed SARS-CoV-2 infection were included. Clinical trials were screened on title, abstract, and text by two authors independently. Only articles published in French and English were selected. The Cochrane risk of bias tool for randomised trials (RoB 2) was used to assess risk of bias. The search strategy identified 1962 randomised clinical trials assessing the efficacy and safety of drugs used to treat covid-19, published in the PubMed database; 1906 articles were excluded after screening and 56 clinical trials were included in the review. Among the 56 clinical trials, no study had a high score for quality of reporting of adverse events, 60.7% had a moderate score, 33.9% had a low score, and 5.4% had a very low score. All clinical trials with a very low score for quality of reporting of adverse events were randomised open label trials. For reporting of serious adverse events, journal articles published on PubMed under-reported 51% of serious adverse events compared with clinical trial summaries published on ClinicalTrials.gov. In one in three published clinical trials on covid-19 drugs, the quality of reporting of adverse events was low or very low. Differences were found in the number of serious adverse events reported in journal articles versus clinical trial summaries. During the covid-19 pandemic, risk assessment of drugs in clinical trials of covid-19 drugs did not comply with good practice recommendations for publication of results. European Network of Centres for Pharmacoepidemiology and Pharmacovigilance (ENCePP) EUPAS45959.",1,0,0,0,0
24228998,"Incidence, characteristics and risk factors of adverse drug reactions in hospitalized children - a prospective observational cohort study of 6,601 admissions.","Adverse drug reactions (ADRs) are an important cause of harm in children. Current data are incomplete due to methodological differences between studies: only half of all studies provide drug data, incidence rates vary (0.6% to 16.8%) and very few studies provide data on causality, severity and risk factors of pediatric ADRs. We aimed to determine the incidence of ADRs in hospitalized children, to characterize these ADRs in terms of type, drug etiology, causality and severity and to identify risk factors. We undertook a year-long, prospective observational cohort study of admissions to a single UK pediatric medical and surgical secondary and tertiary referral center (Alder Hey, Liverpool, UK). Children between 0 and 16 years 11 months old and admitted for more than 48 hours were included. Observed outcomes were occurrence of ADR and time to first ADR for the risk factor analysis. A total of 5,118 children (6,601 admissions) were included, 17.7% of whom experienced at least one ADR. Opiate analgesics and drugs used in general anesthesia (GA) accounted for more than 50% of all drugs implicated in ADRs. Of these ADRs, 0.9% caused permanent harm or required admission to a higher level of care. Children who underwent GA were at more than six times the risk of developing an ADR than children without a GA (hazard ratio (HR) 6.40; 95% confidence interval (CI) 5.30 to 7.70). Other factors increasing the risk of an ADR were increasing age (HR 1.06 for each year; 95% CI 1.04 to 1.07), increasing number of drugs (HR 1.25 for each additional drug; 95% CI 1.22 to 1.28) and oncological treatment (HR 1.90; 95% CI 1.40 to 2.60). ADRs are common in hospitalized children and children who had undergone a GA had more than six times the risk of developing an ADR. GA agents and opiate analgesics are a significant cause of ADRs and have been underrepresented in previous studies. This is a concern in view of the increasing number of pediatric short-stay surgeries.",1,0,1,0,0
29685700,Randomized clinical trials and observational studies in the assessment of drug safety.,"Randomized clinical trials are considered as the preferred design to assess the potential causal relationships between drugs or other medical interventions and intended effects. For this reason, randomized clinical trials are generally the basis of development programs in the life cycle of drugs and the cornerstone of evidence-based medicine. Instead, randomized clinical trials are not the design of choice for the detection and assessment of rare, delayed and/or unexpected effects related to drug safety. Moreover, the highly homogeneous populations resulting from restrictive eligibility criteria make randomized clinical trials inappropriate to describe comprehensively the safety profile of drugs. In that context, observational studies have a key added value when evaluating the benefit-risk balance of the drugs. However, observational studies are more prone to bias than randomized clinical trials and they have to be designed, conducted and reported judiciously. In this article, we discuss the strengths and limitations of randomized clinical trials and of observational studies, more particularly regarding their contribution to the knowledge of medicines' safety profile. In addition, we present general recommendations for the sensible use of observational data.",1,0,0,0,0
27112273,Individualized versus standardized risk assessment in patients at high risk for adverse drug reactions (IDrug) - study protocol for a pragmatic randomized controlled trial.,"Elderly patients are particularly vulnerable to adverse drug reactions, especially if they are affected by additional risk factors such as multimorbidity, polypharmacy, impaired renal function and intake of drugs with high risk potential. Apart from these clinical parameters, drug safety and efficacy can be influenced by pharmacogenetic factors. Evidence-based recommendations concerning drug-gene-combinations have been issued by international consortia and in drug labels. However, clinical benefit of providing information on individual patient factors in a comprehensive risk assessment aiming to reduce the occurrence and severity of adverse drug reactions is not evident. Purpose of this randomized controlled trial is to compare the effect of a concise individual risk information leaflet with standard information on risk factors for side effects. The trial was designed as a prospective, two-arm, randomized, controlled, multicenter, pragmatic study. 960 elderly, multimorbid outpatients in general medicine are included if they take at least one high risk and one other long-term drug (polymedication). As high risk ""index drugs"" oral anticoagulants and antiplatelets were chosen because of their specific, objectively assessable side effects. Following randomization, test group patients receive an individualized risk assessment leaflet evaluating their personal data concerning bleeding- and thromboembolic-risk-scores, potential drug-drug-interactions, age, renal function and pharmacogenetic factors. Control group patients obtain a standardized leaflet only containing general information on these criteria. Follow-up period is 9 months for each patient. Primary endpoint is the occurrence of a thromboembolic/bleeding event or death. Secondary endpoints are other adverse drug reactions, hospital admissions, specialist referrals and medication changes due to adverse drug reactions, the patients' adherence to medication regimen as well as health related quality of life, mortality and resulting costs. Despite extensive evidence of risk factors for adverse drug reactions, there are few prospective trial data about an individualized risk assessment including pharmacogenetic information to increase patient safety. By conducting a health economic analysis, we will evaluate if the application of an individualized drug therapy in daily routine is cost-effective. German Clinical Trials Register: DRKS00006256 , date of registration 09/01/15.",1,1,1,0,0
