SENTENCE,ANIMAL,ADVERSE_EFFECT,PREDICTION,LABEL
We here report a 49-year-old man with RRMS who developed severe diarrhea and weight loss six months after starting teriflunomide and eventually was found to have multiple ulcers and inflammatory changes consistent with Crohn's disease,no animal model,NA,0,1
We present a 43-year-old woman with relapsing-remitting multiple sclerosis (MS) who developed lupus syndrome after 32 months of IFN-beta-1a therapy,no animal model,NA,0,1
"Five years later, leukopenia developed and resolved after interferon was discontinued MS treatment was changed to copolymer-1",no animal model,NA,0,1
BACKGROUND: Multiple sclerosis patients who discontinue using natalizumab are at risk of a rebound in disease activity,no animal model,NA,0,1
Neither MS itself nor early pregnancy use of DMTs overall seems to be associated with a substantial risk of adverse pregnancy outcomes.,no animal model,NA,0,1
"Predictors of a higher relapse rate in the first year were: younger age at fingolimod cessation, higher relapse rate in the year prior to cessation, delaying commencement of new therapy and switching to low-efficacy therapy",no animal model,NA,0,1
"Both prospective pregnancy data, reported prior to knowledge of pregnancy outcome, and retrospective data were included",no animal model,NA,0,1
"Infections occurred in 26% of patients, mainly as urinary tract infections (22%) and one fatal case of West Nile encephalitis in a patient with grade 3 lymphopenia, who had been on DMF for 5 months",no animal model,NA,0,1
"Before starting Fingolimod, patients' immunity to varicella zoster virus (VZV) needs to be assessed and seronegative patients vaccinated",no animal model,NA,0,1
We describe an atypical case of intracerebral plasmacytic lymphoproliferative disorder in a 47 years old patient on fingolimod,no animal model,NA,0,1
"Cytomegalovirus reactivation was detected in another patient who had also received corticosteroids for 15Â days, causing a congenital infection in her newborn",no animal model,NA,0,1
"We consider the potential for an increased risk of developing a poorer-prognosis breast cancer as a result of concomitant immunomodulatory effects of the previous MS treatment, particularly the effects the drugs are reported to have on regulatory T cells, and therefore present these cases and a review of the current literature",no animal model,NA,0,1
"OBJECTIVES: In this post hoc analysis, we assess the efficacy and safety of alemtuzumab in Comparison of Alemtuzumab and RebifÂ® Efficacy in Multiple Sclerosis (CARE-MS) trial patients who met criteria for at least one of four separate definitions of HAD (one primary and three alternatives)",no animal model,NA,0,1
The secondary endpoint was the predictors of first relapse and disability accumulation after treatment discontinuation,no animal model,NA,0,1
Drug-induced liver injury (DILI) is a significant global health issue that poses high mortality and morbidity risks,no animal model,NA,0,1
CONCLUSIONS: Clinicians should be aware that Crohn's disease is a potential novel adverse drug effect of Copaxone.,no animal model,NA,0,1
CONCLUSIONS: The FBS/HSA-free formulation of sc IFN beta-1a has a beneficial impact on MRI and efficacy outcomes as early as 4 weeks after treatment initiation in patients with RRMS and has a safety profile consistent with previous trials of sc IFN beta-1a.,no animal model,NA,0,1
Adverse events reported in this study were consistent with the well-established safety profile of boceprevir,no animal model,NA,0,1
"As a consequence, cases of progressive multifocal leukoencephalopathy (PML) have been identified in MS patients",no animal model,NA,0,1
"Primary adverse effects include flu-like symptoms, fever, chills, myalgia, sweating, and injection-site reactions",no animal model,NA,0,1
"It was manifested by flushing, chest tightness, palpitations, dyspnea, and anxiety, and was acute and transient",no animal model,NA,0,1
Index of cardio-electrophysiological balance (iCEB) is a risk marker for predicting malignant ventricular arrhythmia,no animal model,NA,0,1
"CONCLUSION: By providing further information on adverse events of special interest during long-term follow-up, CLARION will assist neurologists and patients regarding treatment decision-making for management of relapsing MS.",no animal model,NA,0,1
Clinicians prescribing sildenafil to patients receiving protease inhibitor-containing antiretroviral regimens should be aware of the potential for reduced sildenafil metabolism with resultant adverse effects,no animal model,NA,0,1.0
PURPOSE: : To investigate a suspected relationship between central serous chorioretinopathy (CSC) and sildenafil therapy,no animal model,NA,0,1.0
CONCLUSION: Phosphodiesterase type 5 inhibitors show significant signals correlating with priapism among a large international cohort,no animal model,NA,0,1.0
"Although the use of sildenafil, a vasodilator agent for erectile dysfunction, has been associated with rare cases of ICH, the combination of sildenafil usage and smoking as risk factors for ICH has not yet been reported",no animal model,NA,0,1.0
"In this case report and world literature review, we describe the case of a 50-year-old man suffering from PP after ingesting 100 mg of sildenafil",no animal model,NA,0,1.0
Activation of this cGMP pathway promotes melanoma cell growth and migration in a p44/42 MAPK-dependent manner,no animal model,NA,0,1.0
"On the other hand, sleep-disordered breathing has been reported by many patients with erectile dysfunction",no animal model,NA,0,1.0
"RESULTS: After randomization, four patients (7.3%) in group C withdraw their consent because of severe symptoms and two patients (3.6%) in group S discontinued treatment because of headache and dizziness",no animal model,NA,0,1.0
"OBJECTIVE: To evaluate the efficacy, safety and tolerability of oral sildenafil in women with female sexual arousal disorder as a result of SCI (paraplegia/tetraplegia)",no animal model,NA,0,1.0
Outcomes of interest included New York Heart Association (NYHA) functional class after 6 months of therapy and adverse effects attributable to sildenafil,no animal model,NA,0,1.0
"In patients with hypertension who were taking amlodipine therapy, sildenafil produced additive, but not synergistic, reductions in blood pressure",no animal model,NA,0,1.0
"However, its use has been associated with serious adverse events including myocardial infarctions and strokes, and 130 verifiable plus 112 unverified deaths reported to the US Food and Drug Administration during the 8 months after sildenafil was introduced in the US, and 522 reported deaths during the 13.5 months after its introduction",no animal model,NA,0,1.0
"CONCLUSIONS: In this trial of men with ED and BPH-associated LUTS, sildenafil treatment for ED was efficacious, effective and generally well tolerated.",no animal model,NA,0,1.0
"Adverse effects reported at a rate of >2% were headache, flushing, dyspepsia, nasal congestion, urinary tract infection, abnormal vision, diarrhea, dizziness, and rash",no animal model,NA,0,1.0
The adverse events in this study were predominantly mild or moderate and did not cause discontinuation of treatment,no animal model,NA,0,1.0
AIM: We evaluated the efficacy and safety of sildenafil citrate in men with ED taking antihypertensive agents,no animal model,NA,0,1.0
"Anthracyclines, chemotherapeutic drugs commonly used to treat children with cancer, are known to be cardiotoxic, but the mechanism by which they induce cardiac damage is still not fully understood",no animal model,NA,0,1.0
"This is the first known case of fatal intoxication by desmethyl carbodenafil, a phosphodiesterase-5 inhibitor that is not approved for use in the United States",no animal model,NA,0,1.0
"The organ preservation rate, tumour regression grade, local recurrence rate, disease-free survival, overall survival, adverse effects, and quality of life will also be analysed",no animal model,NA,0,1
"Treatment required modification for 22 patients due to adverse events, most frequently hand-foot syndrome (18 patients)",no animal model,NA,0,1
"A multivariate logistic regression analysis, adjusted for age, comorbidity and CAPE-regimen, confirmed the role of 5-fluorouracil degradation rate as a predictor of G3-4 toxicity occurrence (ORâ€‰=â€‰10.9 [95% IC 1.2-96.2], Pâ€‰=â€‰0.03)",no animal model,NA,0,1
There are several studies describing a hereditary (pharmacogenetic) disorder in which individuals with absent or significantly reduced DPD activity may even develop a life-threatening toxicity following exposure to 5-FU,no animal model,NA,0,1
"Capecitabine has been reported to increase serum phenytoin levels and the international normalized ratio in patients receiving concomitant phenytoin and warfarin, respectively",no animal model,NA,0,1
"The mean Wexner scale score was 9.2, and a high score correlated with symptoms of diarrhea and defecation problems at T4",no animal model,NA,0,1
"This suggests caution should be used when irinotecan is combined with substrates of CES, and warrants further study",no animal model,NA,0,1
SNPs in genes classified as potentially damaging (Sorting Intolerant from Tolerant and Polymorphism Phenotyping v2) were tested for association with toxicity in a validation cohort of 319 capecitabine-treated patients,no animal model,NA,0,1
"Eligible patients with advanced gastric cancer were treated with capecitabine at a fixed dose 1,000 mg daily (days 1-28 continuously, every 5 weeks) until disease progression or significant toxicity",no animal model,NA,0,1
"The MTD was docetaxel, 40 mg/m2 days 1 and 8 carboplatin, AUC = 2 days 1 and 8 and capecitabine, 1500 to 2000 mg/m2 days 1 to 10 in a 21-day cycle",no animal model,NA,0,1
CONCLUSION: A patient receiving capecitabine-containing chemotherapy developed persistent but reversible cerebellar ataxia.,no animal model,NA,0,1
"As NCI/NIH common toxicity criteria, grade 3/4 anemia, neutropenia and thrombocytopenia occurred in two, one and one patients, respectively",no animal model,NA,0,1
Clinicians and clinical pharmacists should educate and counsel the patients regarding the likely adverse effects of their chemo drugs because the early identification of toxic symptoms is crucial to reduce further complications to the patient.,no animal model,NA,0,1
"In both cases, the patients were switched from oral capecitabine to a continuous intravenous 5-fluorouracil infusion and were able to continue treatment without a relapse of hepatotoxicity.",no animal model,NA,0,1
CONCLUSIONS: Self-reported compliance with capecitabine-based therapy in clinical practice is high and seems to be adversely affected by side effects.,no animal model,NA,0,1
"Two million people worldwide start fluoropyrimidine chemotherapy each year, with 20-30% developing severe or life-threatening adverse effects, often attributable to a genetic predisposition such as dihydropyrimidine dehydrogenase deficiency",no animal model,NA,0,1
"SNPs and clinical baseline factors that were univariably associated with HFS with PÂ â‰¤Â 0.10, were tested in a multivariable model using logistic regression",no animal model,NA,0,1
Its toxicity and activity is similar to that observed when intravenous 5-fluorouracil or capecitabine are given alone,no animal model,NA,0,1
Toxicity was assessed by continuous evaluations of treatment-emergent adverse events (AEs) and changes from baseline in laboratory values,no animal model,NA,0,1
This dose-toxicity model will be useful in developing Bayesian individual treatment adaptations and may be of use in the clinic.,no animal model,NA,0,1
PURPOSE: The purpose of this study was to evaluate the adverse drug reactions (ADRs) and serious adverse events associated with capecitabine use in Korean patients by analyzing data from a comprehensive national database of adverse events,no animal model,NA,0,1
"CONCLUSION: The incidence of cardiotoxicity associated with raltitrexed in patients with advanced CRC treated is favourable in a highly skewed, at-risk patient population, all of whom had documented cardiotoxicity with other fluoropyrimidines or were unable to tolerate capecitabine due to cardiac history",no animal model,NA,0,1
"DLT was defined as toxicity leading to postponement of treatment, a drug dose reduction or definitive interruption of drug administration",no animal model,NA,0,1
"One level-III patient developed grade 4 neutropenia, while another developed grade 3 radiation esophagitis",no animal model,NA,0,1
We aimed to investigate the differences in efficacy and safety between bevacizumab combined with capecitabine maintenance therapy and capecitabine monotherapy for RAS-mutant mCRC ï¼ˆas defined by mutations in KRAS and NRAS exons 2-4ï¼‰controlled by bevacizumab plus FOLFIRI chemotherapy for at least 12Â weeks,no animal model,NA,0,1
"The incidence of severe HFS was significantly lower in patients who received PPIs (18%) than in patients who did not receive PPIs (43%, p=0.001), and the discontinuation rate of capecitabine therapy due to HFS was also lower in patients receiving PPIs than in those who did not receive PPIs (p=0.003)",no animal model,NA,0,1
"Secondary objectives are safety and tolerability, efficacy in terms of progression-free survival and objective response rate and blood-based signatures (e.g",no animal model,NA,0,1
"Mid-treatment, low preference was associated with lower QoL, worse social, emotional and physical function (all pâ€¯â‰¤â€¯0.02) and worse nausea/vomiting, cancer symptoms and financial worries (all pâ€¯<â€¯0.05)",no animal model,NA,0,1
"RESULTS: DPYD variant allele carriers treated with standard dosages (NÂ =Â 34) showed an increased risk of severe gastrointestinal (adjusted ORÂ =Â 2.58, confidence interval [CI]Â =Â 1.02-6.53, PÂ =Â 0.045) or severe haematological (adjusted ORÂ =Â 4.19, CIÂ =Â 1.32-13.25, PÂ =Â 0.015) toxicity compared with wild-type patients (NÂ =Â 771)",no animal model,NA,0,1
"Deficiencies in DPD activity have been shown to cause 5FU-treated cancer patients to experience severe drug-related toxicities, often requiring extensive medical intervention",no animal model,NA,0,1
"Patients can be categorised in normal, moderate and poor DPYD metabolisers to predict the risk of adverse events of capecitabine treatment",no animal model,NA,0,1
"Capecitabine has been shown to be much less cardiotoxic compared to 5-FU, with only a handful of cases reporting cardiotoxicity with capecitabine",no animal model,NA,0,1
"Choosing the most appropriate TKI requires clinicians to consider a host of patient-, disease-, and treatment-related factors, not the least of which include the safety profiles of the agents",no animal model,NA,0,1.0
"With prolonged treatment, IM results in a higher physical well-being, less fatigue and emotional and cognitive dysfunction, and very few side-effects.",no animal model,NA,0,1.0
We have found hypopigmentation in 49.2% of the cases and a statistically significant association with interferon (IFN) intake,no animal model,NA,0,1.0
Fewer patients experienced grade 3/4 treatment-related treatment-emergent adverse events with ripretinib (17%) versus sunitinib (56%),no animal model,NA,0,1.0
"Herein, we describe a patient with chronic myeloid leukemia (CML) who developed optic disc edema during treatment with imatinib",no animal model,NA,0,1.0
CASE PRESENTATION: A 62-year-old CML patient treated with 300Â mg nilotinib twice daily complained of several episodes of rest angina and was hospitalized at our institution,no animal model,NA,0,1.0
"We describe for the first time a case of a patient treated by imatinib for chronic myeloid leukemia who developed partial Fanconi syndrome with mild renal failure, which leads to a discussion of the pathophysiological characteristics of imatinib-induced renal toxicity",no animal model,NA,0,1.0
The lymphocytosis and increased large granular lymphocyte count observed during dasatinib treatment also subsided after switching medications.,no animal model,NA,0,1.0
"The milk/plasma (M/P) ratio and the relative infant dose (RID) for imatinib were calculated to be 0.35 and 1.4%, respectively at 5 days of life",no animal model,NA,0,1.0
Pleural effusions are generally managed by dose interruption/reduction and other supportive measures in patients with chronic myeloid leukemia receiving dasatinib therapy.,no animal model,NA,0,1.0
"The patient received supportive measures for pancreatitis, although she eventually died 3â€‰months after the onset of symptoms",no animal model,NA,0,1.0
"Here, we describe a patient with severe epidermal necrolysis after treatment with imatinib and consecutive allogeneic hematopoietic stem cell transplantation",no animal model,NA,0,1.0
"The objective of this retrospective cohort study was to investigate the incidence of VAEs in Taiwanese patients with CML treated with different TKIs (imatinib, nilotinib, and dasatinib) as well as potential risk factors",no animal model,NA,0,1.0
"It is better tolerated and produces higher HR, CR and freedom from progressive disease rates than conventional therapy with IFNalpha plus cytarabine",no animal model,NA,0,1.0
"Data were categorized with respect to age and sex, category, and seriousness of reported ADRs and medications",no animal model,NA,0,1.0
There was a significant difference between the sarcopenia group and the nonsarcopenia group in the ratio of severe AEs (grades 3-4),no animal model,NA,0,1.0
OBJECTIVES: To investigate the frequency of imatinib-induced pancreatic complications and determine whether these are survival prognostic factors in patients with gastrointestinal stromal tumor (GIST),no animal model,NA,0,1.0
Few cases of imatinib mesylate-induced liver failure have been reported most of them were observed in patients treated for chronic myeloid leukemia,no animal model,NA,0,1.0
We hope that this case will help remind clinicians to pay more attention to the side effect of thrombocytopenia caused by dasatinib in the future.,no animal model,NA,0,1.0
"Our results will help predict the occurrence of OARs by oncologists, ophthalmologists, pharmacists, and other healthcare professionals.",no animal model,NA,0,1.0
"Despite the notion that increased tumor specificity results in decreased complications, toxicity remains a major hurdle in the development and implementation of many of the targeted anticancer drugs",no animal model,NA,0,1.0
This information could be adapted in individualized approaches such as in vivo CYP3A4 phenotyping to optimize sorafenib safety and efficacy in cancer patients with liver dysfunction.,no animal model,NA,0,1.0
"Ethanol: The aetiology of ethanol-related cardiotoxicity is multifactorial, with individual susceptibility being important",no animal model,NA,0,1.0
The outcome of patients with surgically treated GISTs treated in the era of targeted drug therapy was assessed and factors associated with adverse outcomes determined,no animal model,NA,0,1.0
"Grade 3 hematologic adverse events were also reported more frequently in the sunitinib malate group, including leucopenia (4% vs",no animal model,NA,0,1.0
"This study evaluates the therapeutic potential of plant-derived extracts in hepatocellular carcinoma treatment, with a focus on minimizing side effects while enhancing efficacy",no animal model,NA,0,1.0
"Our aim was to study all the drug-drug interactions (DDIs) observed in patients treated with imatinib.We performed 2 observational studies, between the 1st January 2012 and the 31st August 2015 in the Midi-PyrÃ©nÃ©es area (South Western France), using the French health insurance reimbursement database and then the French Pharmacovigilance Database (FPVD).A total of 544 patients received at least 1 reimbursement for imatinib",no animal model,NA,0,1.0
"Long-lasting TKI treatment, in particular with second-generation TKIs, has enabled clinicians to manage the onset of several side effects and other co-morbidities, such as atrial fibrillation or venous thromboembolism (VTE)",no animal model,NA,0,1.0
Side effects of conventional transarterial chemoembolization and drug-eluting beads-based transarterial chemoembolization were similar,no animal model,NA,0,1
"In this phase I trial, we showed that two sessions of treatment with a transarterial idarubicin_lipiodol emulsion without embolisation was well tolerated and gave promising efficacy in terms of tumour control and patient survival.",no animal model,NA,0,1
"Moreover, it also showed flocculous and linear high-density shadow in the pancreatic tail, suggesting lipiodol deposition in the pancreatic tail",no animal model,NA,0,1
"Deterioration in Child-Pugh status followed a session of TACE on 19/148 (12.8%) occasions but resulted in unscheduled hospitalization on only 4/148 (2.7%) occasions, the highest incidence (8.3%) in Child-Pugh C patients",no animal model,NA,0,1
"Trans-catheter embolisation of the spleen has significant complications, despite strict asepsis and antibiotic cover",no animal model,NA,0,1
"As of October 1, 1994, 39 of the 50 patients assigned to chemoembolization and 40 of the 46 patients assigned to conservative management had died",no animal model,NA,0,1
"The aim of this prospective, randomized trial was to compare the efficacy and tolerance of 131I-labeled Lipiodol and chemoembolization for the treatment of patients with HCC",no animal model,NA,0,1
We report a patient with hepatocellular carcinoma who developed multiple hepatic infarction after transcatheter arterial infusion (TAI) with a suspension of styrene maleic acid neocarzinostatin (SMANCS) and Lipiodol (SMANCS/Lipiodol),no animal model,NA,0,1
OBJECTIVE: Cyanoacrylate (CYA) injection is recommended for bleeding gastric varices (GV) but with significant adverse effects,no animal model,NA,0,1
Objective To evaluate the long-term efficacy and safety of selective arterial embolization (SAE) in the treatment of renal angiomyolipomas (AMLs),no animal model,NA,0,1
"Grade 3 elevation of serum transaminase levels was found in 23.4% of the patients however, the values returned to the baseline levels",no animal model,NA,0,1
PURPOSE: Analysis of preprocedural factors that may be helpful in predicting the severity of pain and nausea after hepatic arterial embolization (HAE) for liver neoplasms,no animal model,NA,0,1
Cerebral lipiodol embolization is a potential neurologic morbidity associated with interventional lymphatic procedures.,no animal model,NA,0,1
The MTD was defined as the dose closest to that causing dose-limiting toxicity (DLT) in 20% of patients,no animal model,NA,0,1
A number of RBC units transfused greater than or equal to 3 were associated with poorer clinical success (pÂ =Â 0.025) and higher mortality (pÂ =Â 0.03),no animal model,NA,0,1
N-butyl cyanoacrylate was also found to cause more venous sclerosis and hepatotoxicity than control (p<0.05),no animal model,NA,0,1
The therapeutic and adverse effects were compared using Fisher's exact test and multivariate logistic regression,no animal model,NA,0,1
"CONCLUSION: Outpatient ultrasound-guided LipiodolÂ® HSG was safe, with pregnancy rates comparable to previous studies of fluoroscopic guidance",no animal model,NA,0,1
"Chest CT scans revealed linear high-density shadows, suggestive of lipiodol retention in both lungs of all patients",no animal model,NA,0,1
We report a case in which iodinated oil (lipiodol ultra-fluid (UF)) leaked from an iatrogenic perforation of Stensen's duct and constituted a foreign body in the cheek,no animal model,NA,0,1
This study describes and compares liver/biliary injuries encountered with TACE in tumours developed in cirrhotic (hepatocellular carcinoma (HCC)) and non-cirrhotic (endocrine tumours (NETs)) livers,no animal model,NA,0,1
"CONCLUSIONS: Targeted transarterial sorafenib delivery is feasible and results in higher tissue drug levels than reported for systemic sorafenib therapy, without immediate histopathologic tissue toxicity",no animal model,NA,0,1
Postembolization pain is a significant complication and poses a continuing challenge to the physician with regards to patient management.,no animal model,NA,0,1
"There was no difference between the two groups in regard to serious bleeding events (22.7% in the UFH group vs 12.5% in the LMWH group, PÂ =Â .31)",no animal model,NA,0,1.0
"On the other hand, adverse effects of anticoagulant, thrombocytopenia, platelet dysfunction, acquired von Willebrand syndrome, and hyperfibrinolysis are all established as causes of bleeding",no animal model,NA,0,1.0
BACKGROUND: To compare the safety and efficacy of low-dose anticoagulation (LA) with that of standardized dose anticoagulation (SA) for patients supported with extracorporeal membrane oxygenation (ECMO),no animal model,NA,0,1.0
"The clinical presentation and management of heparin-induced thrombocytopenia, which is a rare but life-threatening complication of heparin therapy, has not been described in those patients yet",no animal model,NA,0,1.0
"The frequency of HIT was 8.2% in the extracorporeal membrane oxygenation subgroup with 268 patients and 0.8% in the hospitalization subgroup with 10,887 patients",no animal model,NA,0,1.0
"Anticoagulants that directly inhibit thrombin are associated with similar in-hospital mortality, stroke, and venous thrombosis and do not confer a higher risk of clinical bleeding in comparison to conventional heparin during ECMO for COVID-19.",no animal model,NA,0,1.0
"There was no difference in mean oxygenator/circuit change, transfused packed red blood cell, or documented bleeding complications per patient in each arm (pâ€‰=â€‰0.56, 0.43, 0.77, respectively)",no animal model,NA,0,1.0
"Development of the heparin-bonded system will be essential in reducing hemorrhagic complications, but has not yet been clinically proven",no animal model,NA,0,1.0
"Antithrombin III activity greater than 80% was not associated with bleeding complications (OR = 1.06, 95% CI = 1.01-1.11, p = 0.44)",no animal model,NA,0,1.0
Patients were separated into two groups based on severity of hemorrhagic complications and transfusion requirements,no animal model,NA,0,1.0
A total of 10 circuit changes due to clot formation or oxygen transfer failure were required in six patients (85.7%),no animal model,NA,0,1.0
We show an anticoagulation therapy without bleeding risk based on a plasma protease factor XII function-neutralizing antibody,no animal model,NA,0,1.0
The occurrence of both hepatic and renal failure for DTI Only and DTI after Heparin patients was higher than that of Heparin Only patients,no animal model,NA,0,1.0
"Further research is warranted on how pump type affects coagulation, taking into account the severity and implications of coagulation complications",no animal model,NA,0,1.0
There was no significant difference in all-cause mortality risk (OR 0.75 95% CI .52-1.09,no animal model,NA,0,1.0
"Simultaneously, HIT II was diagnosed as a result of hematology workup for persistent thrombocytopenia",no animal model,NA,0,1.0
"Characterized by elevated plasma-free hemoglobin (PFH), intravascular hemolysis is associated with cytotoxic effects leading to renal replacement therapy (RRT), longer ECMO runs, and mortality",no animal model,NA,0,1.0
A patient with myocardial failure after repair of an acute type A aortic dissection had acute heparin-induced thrombocytopenia develop during extracorporeal membrane oxygenation,no animal model,NA,0,1.0
"CONCLUSIONS: Prevalence of HIT among patients under VA-ECMO is extremely low at 0.36% with an associated mortality rate of 33.3%, which appears to be in the same range as that observed in patients treated with VA-ECMO without HIT",no animal model,NA,0,1.0
"Mortality was not different with (6/19, 31.6%) or without (89/279, 32.2%) heparin-induced thrombocytopenia in patients on extracorporeal membrane oxygenation (p = 0.79)",no animal model,NA,0,1.0
"In the last decade, however, we have learned that bleeding complications in the course of extracorporeal membrane oxygenation (ECMO) therapy are common and not occasionally limiting or fatal",no animal model,NA,0,1.0
Pregnant women with mechanical prosthetic heart valves have an increased risk of thrombosis and valve malfunctioning,no animal model,NA,0,1.0
"The aim of this study was to assess, in patients undergoing CRRT during venovenous ECMO (vv-ECMO), the efficacy and safety of adding regional citrate anticoagulation (RCA) for CRRT circuit anticoagulation (RCA + UFH group) compared with the sole systemic heparin anticoagulation (UFH group)",no animal model,NA,0,1.0
Overall there was 1 bleeding event in the no-bolus group (11.1%) and 7 in the bolus group (30.4%) ( P = 0.26),no animal model,NA,0,1.0
